,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,15.5850968972376,NaN
,A02,SYBR,,Unkn,,16.8219777766007,NaN
,A03,SYBR,,Unkn,,18.3313718622567,NaN
,A04,SYBR,,Unkn,,17.83355940989,NaN
,A05,SYBR,,Unkn,,18.2203812333776,NaN
,A06,SYBR,,Unkn,,16.8935227153882,NaN
,A07,SYBR,,Unkn,,16.6131803155422,NaN
,A08,SYBR,,Unkn,,16.6333072939264,NaN
,A09,SYBR,,Unkn,,17.7571507358803,NaN
,A10,SYBR,,Unkn,,19.4577201704308,NaN
,A11,SYBR,,Unkn,,11.2790246078908,NaN
,A12,SYBR,,Unkn,,11.9496019507695,NaN
,B01,SYBR,,Unkn,,15.328611997412,NaN
,B02,SYBR,,Unkn,,16.4444476657818,NaN
,B03,SYBR,,Unkn,,18.486941451718,NaN
,B04,SYBR,,Unkn,,17.3946123315036,NaN
,B05,SYBR,,Unkn,,18.1464655122981,NaN
,B06,SYBR,,Unkn,,16.9843544066818,NaN
,B07,SYBR,,Unkn,,17.1531460371814,NaN
,B08,SYBR,,Unkn,,16.9031877841193,NaN
,B09,SYBR,,Unkn,,18.4161876351629,NaN
,B10,SYBR,,Unkn,,18.8528174297027,NaN
,B11,SYBR,,Unkn,,10.4788711977296,NaN
,B12,SYBR,,Unkn,,36.1924294422822,NaN
,C01,SYBR,,Unkn,,15.9096219283582,NaN
,C02,SYBR,,Unkn,,16.5832950926504,NaN
,C03,SYBR,,Unkn,,18.9579683044659,NaN
,C04,SYBR,,Unkn,,17.8292830662153,NaN
,C05,SYBR,,Unkn,,18.3553872068107,NaN
,C06,SYBR,,Unkn,,17.2213747586118,NaN
,C07,SYBR,,Unkn,,17.4612892069747,NaN
,C08,SYBR,,Unkn,,17.2045078476877,NaN
,C09,SYBR,,Unkn,,18.3489148929251,NaN
,C10,SYBR,,Unkn,,19.4206813762522,NaN
,C11,SYBR,,Unkn,,11.254753799767,NaN
,C12,SYBR,,Unkn,,34.9654548510249,NaN
,D01,SYBR,,Unkn,,15.8648700322528,NaN
,D02,SYBR,,Unkn,,16.9308943276117,NaN
,D03,SYBR,,Unkn,,18.7645998354379,NaN
,D04,SYBR,,Unkn,,17.8637165632514,NaN
,D05,SYBR,,Unkn,,18.3945170421061,NaN
,D06,SYBR,,Unkn,,17.3316216064958,NaN
,D07,SYBR,,Unkn,,17.3996716614776,NaN
,D08,SYBR,,Unkn,,17.3348624568924,NaN
,D09,SYBR,,Unkn,,18.3011174530505,NaN
,D10,SYBR,,Unkn,,19.4891076658362,NaN
,D11,SYBR,,Unkn,,12.3152524725843,NaN
,D12,SYBR,,Unkn,,36.5338631755521,NaN
,E01,SYBR,,Unkn,,24.7490497867639,NaN
,E02,SYBR,,Unkn,,21.0690128631827,NaN
,E03,SYBR,,Unkn,,21.5551727165045,NaN
,E04,SYBR,,Unkn,,16.0171285346659,NaN
,E05,SYBR,,Unkn,,14.1728696228948,NaN
,E06,SYBR,,Unkn,,12.872497692437,NaN
,E07,SYBR,,Unkn,,12.4301851498618,NaN
,E08,SYBR,,Unkn,,13.4331277064543,NaN
,E09,SYBR,,Unkn,,15.5032529393191,NaN
,E10,SYBR,,Unkn,,16.1741441851268,NaN
,E11,SYBR,,Unkn,,14.374528490281,NaN
,E12,SYBR,,Unkn,,36.7833065411186,NaN
,F01,SYBR,,Unkn,,24.7406881012512,NaN
,F02,SYBR,,Unkn,,21.2600748844418,NaN
,F03,SYBR,,Unkn,,38.3082949513427,NaN
,F04,SYBR,,Unkn,,15.9241892580517,NaN
,F05,SYBR,,Unkn,,14.207327557708,NaN
,F06,SYBR,,Unkn,,12.4377566509919,NaN
,F07,SYBR,,Unkn,,12.5685003695182,NaN
,F08,SYBR,,Unkn,,13.4957413847461,NaN
,F09,SYBR,,Unkn,,15.4641247479331,NaN
,F10,SYBR,,Unkn,,15.9417291967731,NaN
,F11,SYBR,,Unkn,,14.4183586592546,NaN
,F12,SYBR,,Unkn,,36.5530698474177,NaN
,G01,SYBR,,Unkn,,25.2340494217765,NaN
,G02,SYBR,,Unkn,,23.4251204381906,NaN
,G03,SYBR,,Unkn,,24.8057247200725,NaN
,G04,SYBR,,Unkn,,17.8503454605671,NaN
,G05,SYBR,,Unkn,,15.2474050087843,NaN
,G06,SYBR,,Unkn,,13.7837186409667,NaN
,G07,SYBR,,Unkn,,13.2209463036491,NaN
,G08,SYBR,,Unkn,,14.5736793031337,NaN
,G09,SYBR,,Unkn,,16.8082660478657,NaN
,G10,SYBR,,Unkn,,17.4252268871206,NaN
,G11,SYBR,,Unkn,,16.2292074908477,NaN
,G12,SYBR,,Unkn,,36.4806063224762,NaN
,H01,SYBR,,Unkn,,25.3155933641493,NaN
,H02,SYBR,,Unkn,,23.5974085122941,NaN
,H03,SYBR,,Unkn,,23.7557825363034,NaN
,H04,SYBR,,Unkn,,18.2233863313229,NaN
,H05,SYBR,,Unkn,,15.3185518224207,NaN
,H06,SYBR,,Unkn,,13.8258625145415,NaN
,H07,SYBR,,Unkn,,13.3336640144389,NaN
,H08,SYBR,,Unkn,,14.9119377509099,NaN
,H09,SYBR,,Unkn,,16.7622160143311,NaN
,H10,SYBR,,Unkn,,17.5082563145222,NaN
,H11,SYBR,,Unkn,,34.219892993796,NaN
,H12,SYBR,,Unkn,,34.7930608831218,NaN
